taxa	S1	S2
365044:Polaromonas naphthalenivorans CJ2:no rank	1	0
365046:Ramlibacter tataouinensis TTB310:no rank	1	0
366394:Sinorhizobium medicae WSM419:no rank	1	0
36861:Thiobacillus denitrificans:species	2	1
374:Bradyrhizobium:genus	3	0
379:Rhizobium:genus	1	0
379731:Pseudomonas stutzeri A1501:no rank	0	1
398527:Paraburkholderia phytofirmans PsJN:no rank	1	0
398580:Dinoroseobacter shibae DFL 12 = DSM 16493:no rank	1	0
40323:Stenotrophomonas:genus	0	1
41294:Bradyrhizobiaceae:family	3	0
414684:Rhodospirillum centenum SW:no rank	2	0
420662:Methylibium petroleiphilum PM1:no rank	2	0
446466:Cellulomonas flavigena DSM 20109:no rank	1	0
454594:Xanthomonas citri pv. mangiferaeindicae:no rank	0	1
475662:Halomonas beimenensis:species	1	0
479435:Kribbella flavida DSM 17836:no rank	0	1
48479:environmental samples:no rank	1	2
536:Chromobacterium violaceum:species	0	1
543:Enterobacteriaceae:family	1	0
54571:Streptomyces venezuelae:species	1	4
546874:Friedmanniella sagamiharensis:species	0	1
56:Sorangium cellulosum:species	1	0
57704:Tsukamurella tyrosinosolvens:species	2	0
580332:Sideroxydans lithotrophicus ES-1:no rank	1	0
585455:Thiohalobacter thiocyanaticus:species	2	0
59538:Pantholops hodgsonii:species	1	0
61434:Dehalococcoides:genus	1	0
616991:Arenibacter algicola:species	0	1
63084:Tamarix:genus	2	0
63103:Tamarix pentandra:species	5	0
63745:Sideroxydans lithotrophicus:species	4	0
639005:Streptomyces sp. DSM 21069:species	0	10
644801:Pseudomonas stutzeri RCH2:no rank	0	5
653045:Streptomyces violaceusniger Tu 4113:no rank	0	1
67329:Streptomyces minoensis:species	0	1
674703:Rhodoplanes sp. Z2-YC6860:species	1	0
675635:Pseudonocardia dioxanivorans CB1190:no rank	0	1
68173:Kitasatospora albolonga:species	0	1
68223:Streptomyces katrae:species	0	1
68895:Cupriavidus basilensis:species	0	1
69:Lysobacter enzymogenes:species	1	1
698395:uncultured bacterium 98:species	2	0
71275:rosids:no rank	1	0
741155:Pseudomonas alcaliphila JAB1:no rank	1	0
74201:Verrucomicrobia:phylum	1	0
743299:Acidithiobacillus ferrivorans SS3:no rank	1	0
743718:Isoptericola variabilis 225:no rank	1	0
749414:Streptomyces bingchenggensis BCW-1:no rank	0	1
76114:Aromatoleum aromaticum EbN1:no rank	1	1
765909:Lamprocystis purpurea DSM 4197:no rank	1	0
77133:uncultured bacterium:species	27	8
78245:Xanthobacter autotrophicus Py2:no rank	1	0
794903:Opitutaceae bacterium TAV5:species	1	0
80812:Sorangiineae:suborder	0	1
80840:Burkholderiales:order	4	0
80864:Comamonadaceae:family	6	0
80865:Delftia:genus	1	0
82115:Rhizobiaceae:family	1	0
85007:Corynebacteriales:order	0	1
85413:Bosea:genus	1	0
86027:uncultured beta proteobacterium:species	5	2
89050:Streptomyces yeochonensis:species	0	1
90627:Gallionellaceae:family	1	0
9103:Meleagris gallopavo:species	0	1
91347:Enterobacterales:order	0	1
926:Thiomonas intermedia:species	0	2
92644:Streptomyces malaysiensis:species	1	0
927083:Sandaracinus amylolyticus:species	1	0
931:Thiobacillus thioparus:species	1	0
94122:Shewanella sp. ANA-3:species	1	0
94132:Ramlibacter tataouinensis:species	0	1
946333:Rhizobacter gummiphilus:species	2	0
9526:Catarrhini:parvorder	1	0
9606:Homo sapiens:species	3	1
976:Bacteroidetes:phylum	1	0
